word,phonetic,translation,exchange,derivatives,collins,frq,tag
a,ei,"第一个字母 A; 一个; 第一的\r / art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步",,"aal,aed,aer,aest,aic,aise,aist,aly",5,5,zk gk
a bit,,一点儿；有一点儿,,,,0,
a couple,,一对夫妇；夫妻俩,,,,0,
a few,,"几个, 少数, 一些",,,,0,
A level,,n. 英国GCE考试甲级标准,,,2,0,
a little,,"一些, 一点点, 一点儿, 稍微, 些许",,,,0,
a lot,,"大量, 很, 非常",,,,0,
A-road,'ei'rәjd,"<英>A级公路,主车道",,,1,0,
aah,ɑ:,"abbr.[军] Armored Artillery Howitzer, 装甲榴弹炮 / abbr.[军] Advanced Attack Helicopter, 先进攻击直升机",s:aahs/i:aahing/p:aahed,"aahed,aahing,aahs",,27720,
aback,ә'bæk,"adv. 向后, 朝后, 突然, 船顶风地",,,1,12786,
abacus,'æbәkәs,n. 算盘 / [计] 算盘,,abacuses,,30850,
abalone,æbә'lәuni,n. 鲍,s:abalones,abalones,,27076,
abandon,ә'bændәn,"vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵 / n. 放任, 无拘束, 狂热",d:abandoned/p:abandoned/i:abandoning/3:abandons,"abandoned,abandoner,abandoning,abandonment,abandons",3,2182,gk cet4 cet6 ky toefl gre
abandoned,ә'bændәnd,"a. 被抛弃的, 无约束的, 恣意放荡的",0:abandon/1:dp/p:abandoned/d:abandoned,abandonedly,3,6184,toefl
abandonment,ә'bændәmәnt,"n. 放弃, 抛弃, 放纵 / [经] 委付, 废弃, 放弃(采矿权)",s:abandonments,abandonments,,9919,toefl
abase,ә'beis,"vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑",i:abasing/p:abased/3:abases/d:abased,"abasable,abased,abasement,abaser,abases,abasic,abasing",,41704,gre
abash,ә'bæʃ,"vt. 使不安, 使羞愧, 使困窘",d:abashed/i:abashing/p:abashed/3:abashes,"abashed,abashes,abashing,abashment",,41079,gre
abashed,ә'bæʃd,"a. 不安的, 窘迫的",d:abashed/0:abashed/1:d,abashedly,,28626,toefl
abate,ә'beit,"vt. 减少, 减轻, 减弱, 废除, 打折扣 / vi. 减轻, 减弱, 减少, 失效, 被废除",d:abated/i:abating/p:abated/3:abates,"abatable,abated,abatement,abater,abates,abatic,abating,abatment",1,13243,toefl gre
